year;prevpred;prevdens;dens
1990;0,275362319;4,888888889;4,333333333
1991;0,368421053;4,333333333;2,416666667
1992;0,220338983;2,416666667;2,443890274
1993;0,163636364;2,443890274;3,566084788
1994;0,333333333;3,566084788;3,466334165
1995;0,196969697;3,466334165;4,513715711
1996;0,085106383;4,513715711;4,239401496
1997;0,098901099;4,239401496;3,19201995
1998;0,05;3,19201995;3,441396509
1999;0,023809524;3,441396509;4,064837905
2000;0,010989011;4,064837905;4,538653367
2001;0,048;4,538653367;3,356643357
2002;0;3,356643357;4,511111111
2003;0,033333333;4,511111111;4,666666667
2004;0;4,666666667;6,288888889
2005;0;6,288888889;7,444444444
2006;0,094890511;7,444444444;7,355555556
2007;0,079365079;7,355555556;6,866666667
2008;0,054054054;6,866666667;6,6
2009;0,043478261;6,6;4,577777778
2010;0,573770492;4,577777778;4,111111111
2011;0,551724138;4,111111111;1,733333333
2012;0,105263158;1,733333333;1,311111111
2013;0,454545455;1,311111111;1,555555556
2014;0,485714286;1,555555556;2,822222222
2015;0,625;2,822222222;4,066666667
2016;0,169014085;4,066666667;4,755555556
2017;0,3125;4,755555556;4,533333333
2018;0,034090909;4,533333333;5,711111111
2019;0,020408163;5,711111111;6,933333333
2020;0,12195122;6,933333333;5,488888889
2021;0,317073171;5,488888889;4,644444444
2022;0,054545455;4,644444444;4,222222222
