"Block"	"Treat1"	"Treat2"	"Carex_Liparicarpos"	"Carex_Stenophylla"	"Bothriochloa_Ischaemum"	"Bromus_Squarrosus"	"Cleistogenes_Serotina"	"Cynodon_Dactylon"	"Festuca_Vaginata"	"Poa_Bulbosa"	"Secale_Sylvestre"	"Setaria_Pumila"	"Stipa_Borysthenica"	"Tragus_Racemosus"	"Alkanna_Tinctoria"	"Alyssum_Tortuosum"	"Arenaria_Serpyllifolia"	"Artemisia_Campestris"	"Astragalus_Austriacus"	"Bassia_Laniflora"	"Centaurea_Arenaria"	"Chenopodium_Album"	"Chondrilla_Juncea"	"Conyza_Canadensis"	"Corispermum_Nitidum"	"Crepis_Rhoaedifolia"	"Cynoglossum_Officinalis"	"Dianthus_Serotinus"	"Erophyla_Verna"	"Eryngium_Campestre"	"Euphorbia_Cyparissias"	"Euphorbia_Segueriana"	"Fumana_Procumbens"	"Gypsophyla_Paniculata"	"Holosteum_Umbellatum"	"Lithospermum_Arvense"	"Medicago_Minima"	"Minuartia_Glomerata"	"Muscari_Comosum"	"Myosotis_Stricta"	"Plantago_Indica"	"Polygonum_Arenarium"	"Salsola_Kali"	"Scabiosa_Ochroleuca"	"Senecio_Vernalis"	"Silene_Conica"	"Silene_Otites"	"Syrenia_Cana"	"Thymus_Glabrescens"	"Tragopogon_Floccosus"	"Veronica_Praecox"	"Viola_Kitaibeliana"	"Crepis_Tectorum"	"Lactuca_Serriola"	"Linaria_Genistifolia"	"Solidago_Virga.aurea"	"Thesium_Ramosum"	"Bromus_Tectorum"	"Acinos_Arvensis"
"S01"	1	"C"	"W2"	0	0	0	0	0	0	7.4	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0
"S02"	1	"C"	"W3"	0	0.1	0	0	0	0	4.2	0	0.1	0	3.5	0	0	0	0	0.8	0	0	0.4	0	0	0	0	0.1	0	0	0	0	0	0.2	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
"S03"	1	"C"	"W1"	0	0	0	0	0	0	17	0	0	0	0.3	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S04"	1	"C"	"W4"	0	0	0	0	0	0	0.1	0	2.9	0	1.5	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0
"S05"	1	"X"	"W2"	0	0	0	0	0	0	5.6	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1.1	1.5	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S06"	1	"X"	"W3"	0	0	0	0	0	0	1.6	0	1.5	0	4.1	0	0.1	0	0	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S07"	1	"X"	"W1"	0	1.2	0	0	0	0	6.8	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.2	0	0	0	0
"S08"	1	"X"	"W4"	0	0.1	0	0	0	0	0.7	0	3.2	0	2.9	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.3	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S09"	2	"C"	"W2"	0	0	0	0	0	0	8.6	0	0	0	2.4	0	0	0	0	1.2	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S10"	2	"C"	"W3"	0	0	0	0	0	0	2.3	0	0.1	0	3.6	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
