"Mushroom_yield"	"Mushroom_strain"
11.01	"H35"
8.88	"H35"
7.6	"H35"
8.18	"H35"
8.53	"H35"
10.08	"H35"
8.14	"H35"
7.46	"H35"
7.31	"H35"
7.14	"H35"
8.32	"H35"
6.66	"H35"
7.15	"H35"
6.06	"H35"
9.18	"H35"
8.39	"H35"
8.85	"H35"
7.6	"H35"
10.88	"H35"
7.13	"H35"
6.3	"H35"
10.07	"H35"
9.22	"H35"
9.07	"H35"
8.74	"H35"
9.38	"H35"
9.05	"H35"
6.73	"H35"
10.02	"H35"
8.8	"H35"
7.71	"H35"
9.81	"H35"
9.43	"H35"
9.37	"H35"
7.69	"H35"
9.45	"H35"
9.87	"H35"
11.66	"H35"
10.03	"H35"
9.1	"H35"
9.03	"L357"
6.44	"L357"
7.65	"L357"
10.31	"L357"
6.38	"L357"
9.65	"L357"
7.9	"L357"
11.1	"L357"
5.74	"L357"
10.93	"L357"
7.62	"L357"
8.54	"L357"
10.62	"L357"
9.23	"L357"
8.69	"L357"
8.72	"L357"
10.95	"L357"
9.79	"L357"
7.01	"L357"
10.32	"L357"
8.9	"L357"
8.01	"L357"
9.02	"L357"
10.1	"L357"
7.52	"L357"
8.27	"L357"
8.67	"L357"
9.46	"L357"
8.84	"L357"
7.98	"L357"
5.38	"L357"
9.44	"L357"
9.58	"L357"
7.28	"L357"
9.21	"L357"
9.4	"L357"
8.4	"L357"
10.09	"L357"
8.22	"L357"
9.85	"L357"
6.83	"P70"
5.21	"P70"
8.15	"P70"
6.46	"P70"
8.05	"P70"
8.37	"P70"
7.34	"P70"
5.34	"P70"
7.97	"P70"
7.75	"P70"
7.62	"P70"
7.64	"P70"
6.45	"P70"
8.3	"P70"
5.62	"P70"
5.56	"P70"
8.18	"P70"
5.78	"P70"
7.56	"P70"
4.86	"P70"
9.64	"P70"
9.48	"P70"
6.78	"P70"
8.06	"P70"
7.27	"P70"
9.26	"P70"
9.08	"P70"
9.09	"P70"
6.48	"P70"
9.14	"P70"
8.92	"P70"
6.92	"P70"
9.54	"P70"
7.87	"P70"
9.79	"P70"
8.33	"P70"
7.09	"P70"
6.51	"P70"
6.18	"P70"
8.71	"P70"
