"Stature"	"Femur"
170.9	395
168.7	394.5
171.8	396.3
169.6	394.5
169.9	394.7
169.8	393.2
169.7	393.9
171	395
170.7	396.1
170.2	394.4
168.3	392.9
168.5	394.5
169.7	393.2
169.9	395
169.5	395.1
169.7	394.2
169.6	394.3
169.6	394.3
171.2	394.7
167.9	391.1
170.3	395.4
171.3	395.3
170.3	393.2
170.5	393.5
171.5	396
169.1	394.4
170.4	394.6
169.6	394.9
171.8	395.8
168.8	393.4
168.7	392.9
171	394.6
169.8	394.4
170.9	395.2
169.7	392
168.6	393.3
168.6	393.3
169.1	393.7
171.1	394.1
170.1	396.2
171.6	395.6
170.6	395.7
169.6	395.2
170.5	394.2
169.6	395.2
171	394.4
170.8	395.5
169	394.9
170.6	395.1
169.3	394.2
171	394.7
169.9	393.8
169.6	396.3
170.3	395
169.1	393.4
171.8	395.5
172	395.9
169	394.3
170.4	395.1
171	393.8
170.8	394.4
170.4	394.6
168	393.4
169.5	394
169.7	393.9
171.4	394.7
169.1	394.2
170.7	395.4
171.6	396.9
172.9	395.8
170.2	395.7
169.3	394.3
169.7	393.2
170	395.3
171.6	394.9
170.6	393.4
170.8	396.1
171	395.2
169.4	394
169.6	395.3
170.4	395.7
169.9	395
170.6	394.7
171.2	395.9
170.5	394.9
170.9	395.2
171.2	396
170.2	394.8
172.5	394.6
169.8	396.6
169.6	394.3
169.1	394.7
170.8	395
170.5	395.5
169.1	393.5
170.5	394
171	395.3
169.5	393.3
172.2	395.6
169.3	393.9
